baseline,scenario,description,G1,G2,G3,G4,G5,G6,O1,O2,O3,accountability,expectation_matched,eligible_progress
B0,S00,"Legitimate Allow",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B0,S01,"Credential Rotation",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B0,S02,"Runtime Migration",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B0,S03,"Subject Confusion",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B0,S04,"Multi-Role Closure",VIOLATED,N/A,N/A,N/A,SATISFIED,N/A,N/A,N/A,N/A,N/A,N/A-reference-expectation,false
B0,S05,"Missing Required Role",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B0,S06,"Provenance Committed After Boundary",VIOLATED,VIOLATED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B0,S07,"History Rebind",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B0,S08,"Authority Mismatch",VIOLATED,SATISFIED,VIOLATED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B0,S09,"Independent Grant Revocation",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B0,S10,"Complete Mediation Bypass",VIOLATED,SATISFIED,N/A,VIOLATED,N/A,N/A,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B0,S11,"Denied But Executed",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,VIOLATED,UNADJUDICABLE,N/A-reference-expectation,N/A
B0,S12,"Stale Revocation",VIOLATED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,VIOLATED,VIOLATED,UNADJUDICABLE,N/A-reference-expectation,N/A
B0,S13,"Reauthorization",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B0,S14,"Effect Substitution",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B0,S15,"Admission Replay",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,N/A
B0,S16,"Accountability Closed",VIOLATED,SATISFIED,SATISFIED,SATISFIED,SATISFIED,VIOLATED,VIOLATED,VIOLATED,N/A,UNADJUDICABLE,N/A-reference-expectation,true
B0,S17,"Accountability Unadjudicable",UNADJUDICABLE,UNADJUDICABLE,SATISFIED,SATISFIED,SATISFIED,SATISFIED,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,UNADJUDICABLE,N/A-reference-expectation,N/A
